,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688819.SH,49.3,49.56,47.8,48.4,49.3,-0.9,-1.8256,53788.18,261021.722,5.0636,0.93,47.958,58713.732,47.328,59199.045,45.567,43831.613,45.3307,42085.0475,47.932,64747.0996,47.0637,61125.3065,,,,
1,20211129,688819.SH,46.01,49.6,45.88,49.3,47.13,2.17,4.6043,76497.93,368974.657,7.2014,1.37,47.806,57914.638,46.762,57707.924,45.2555,42573.669,45.4992,42679.1678,47.8954,64884.3068,47.0177,60988.9263,,,,
2,20211126,688819.SH,46.79,47.76,46.7,47.13,46.79,0.34,0.7267,35113.59,165888.541,3.3056,0.55,47.548,55857.76,46.296,52682.672,44.9435,40913.694,45.6293,43075.478,47.8391,64640.2437,46.9632,60739.108,,,,
3,20211125,688819.SH,48.1,48.65,46.62,46.79,48.17,-1.38,-2.8649,56559.4,268108.57,5.3244,0.85,47.67,64417.744,46.062,52371.268,44.6245,40106.666,45.7527,43549.0328,47.8127,64761.5979,46.9292,60809.8897,,,,
4,20211124,688819.SH,47.67,49.87,47.1,48.17,47.64,0.53,1.1125,71609.56,347668.094,6.7412,1.2,47.444,66238.878,45.785,49216.199,44.309,39260.982,45.9017,43758.657,47.7816,64809.9119,46.8948,60732.0785,,,,
5,20211123,688819.SH,48.0,48.38,46.9,47.64,48.01,-0.37,-0.7707,49792.71,236589.342,4.6874,0.87,46.698,59684.358,45.395,44748.916,44.0495,37670.4025,46.0243,43535.6183,47.7389,64794.8853,46.8401,60465.0634,,,,
6,20211122,688819.SH,48.0,48.7,47.36,48.01,47.74,0.27,0.5656,66213.54,318046.179,6.2333,1.34,45.718,57501.21,45.094,42586.412,43.9135,36950.177,46.1228,43715.8635,47.6801,64648.36,46.7858,60243.0144,,,,
7,20211119,688819.SH,45.3,48.28,45.11,47.74,45.66,2.08,4.5554,77913.51,368668.236,7.3347,1.93,45.044,49507.584,44.754,40285.883,43.788,35244.385,46.229,43748.5633,47.6225,64263.8967,46.729,59922.5817,,,,
8,20211118,688819.SH,44.61,46.5,44.5,45.66,44.44,1.22,2.7453,65665.07,300610.491,6.1816,2.04,44.454,40324.792,44.265,34730.944,43.6105,32571.3285,46.3192,43887.8112,47.5676,63785.1423,46.6703,59480.702,,,,
9,20211117,688819.SH,42.9,44.56,42.82,44.44,42.74,1.7,3.9775,38836.96,170608.584,3.6561,1.3,44.126,32193.52,44.029,30590.705,43.5915,30658.4985,46.4782,43930.3423,47.5272,63389.4716,46.6305,59150.0676,,,,
10,20211116,688819.SH,44.64,44.64,42.72,42.74,44.64,-1.9,-4.2563,38876.97,168837.964,3.6598,1.4,44.092,29813.474,43.806,28464.181,43.6805,30250.0545,46.6705,44699.9395,47.504,63368.1673,46.5918,59038.9938,,,,
11,20211115,688819.SH,45.01,45.01,44.09,44.64,44.79,-0.15,-0.3349,26245.41,116930.713,2.4707,0.84,44.47,27671.614,43.749,27439.414,43.826,29885.465,46.9393,45855.1163,47.4852,63259.2257,46.5801,58892.3217,,,,
12,20211112,688819.SH,44.15,45.19,44.02,44.79,44.02,0.77,1.7492,31999.55,142734.039,3.0124,1.1,44.464,31064.182,43.591,29144.716,43.836,29505.3985,47.2077,47458.9992,47.4426,63231.1942,46.5578,58865.1645,,,,
13,20211111,688819.SH,44.14,44.75,43.83,44.02,44.27,-0.25,-0.5647,25008.71,110444.782,2.3543,0.86,44.076,29137.096,43.187,27842.064,43.804,29105.576,47.4715,49829.9167,47.3954,63284.0175,46.5333,58916.7483,,,,
14,20211110,688819.SH,44.31,44.65,43.53,44.27,44.63,-0.36,-0.8066,26936.73,118615.147,2.5358,0.99,43.932,28987.89,42.833,29305.765,43.8785,28900.456,47.6968,51438.5585,47.3689,63462.2333,46.5077,58973.1649,,,,
15,20211109,688819.SH,44.43,45.3,44.4,44.63,44.61,0.02,0.0448,28167.67,126024.643,2.6517,1.04,43.52,27114.888,42.704,30591.889,43.9395,29327.5785,47.8965,52574.6918,47.3583,63607.7283,46.4732,58973.6277,,,,
16,20211108,688819.SH,43.56,45.09,43.4,44.61,42.85,1.76,4.1074,43208.25,192352.984,4.0676,1.59,43.028,27207.214,42.733,31313.942,43.952,29906.006,48.0852,54192.5132,47.3412,63620.9751,46.4303,58932.3837,,,,
